재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 3분기말	전기말	전전기말	
재무상태표, 유동/비유동법-별도재무제표	[211270]	AP위성	코스닥시장상장법인	264	통신 및 방송 장비 제조업	12	2022-09-30	3분기보고서	KRW	ifrs-full_AssetsAbstract	자산 [abstract]			
재무상태표, 유동/비유동법-별도재무제표	[211270]	AP위성	코스닥시장상장법인	264	통신 및 방송 장비 제조업	12	2022-09-30	3분기보고서	KRW	ifrs-full_CurrentAssets	   유동자산	91,542,216,225	100,773,902,803	
재무상태표, 유동/비유동법-별도재무제표	[211270]	AP위성	코스닥시장상장법인	264	통신 및 방송 장비 제조업	12	2022-09-30	3분기보고서	KRW	ifrs-full_CashAndCashEquivalents	      현금및현금성자산	65,923,153,601	65,678,177,460	
재무상태표, 유동/비유동법-별도재무제표	[211270]	AP위성	코스닥시장상장법인	264	통신 및 방송 장비 제조업	12	2022-09-30	3분기보고서	KRW	ifrs-full_CashEquivalents	         현금성자산	65,923,153,601	65,678,177,460	
재무상태표, 유동/비유동법-별도재무제표	[211270]	AP위성	코스닥시장상장법인	264	통신 및 방송 장비 제조업	12	2022-09-30	3분기보고서	KRW	dart_ShortTermDepositsNotClassifiedAsCashEquivalents	      단기금융상품	86,088,000	452,548,300	
재무상태표, 유동/비유동법-별도재무제표	[211270]	AP위성	코스닥시장상장법인	264	통신 및 방송 장비 제조업	12	2022-09-30	3분기보고서	KRW	dart_GovernmentGrantsCashAndCashEquivalentsGross	      정부보조금	0	0	
재무상태표, 유동/비유동법-별도재무제표	[211270]	AP위성	코스닥시장상장법인	264	통신 및 방송 장비 제조업	12	2022-09-30	3분기보고서	KRW	ifrs-full_TradeAndOtherCurrentReceivables	      매출채권 및 기타유동채권	10,185,254,531	23,714,249,894	
재무상태표, 유동/비유동법-별도재무제표	[211270]	AP위성	코스닥시장상장법인	264	통신 및 방송 장비 제조업	12	2022-09-30	3분기보고서	KRW	dart_ShortTermTradeReceivable	         매출채권	1,488,635,575	9,219,044,118	
재무상태표, 유동/비유동법-별도재무제표	[211270]	AP위성	코스닥시장상장법인	264	통신 및 방송 장비 제조업	12	2022-09-30	3분기보고서	KRW	dart_AllowanceForDoubtfulAcccountShortTermTradeReceivable	         대손충당금	750,808,351	750,808,351	
재무상태표, 유동/비유동법-별도재무제표	[211270]	AP위성	코스닥시장상장법인	264	통신 및 방송 장비 제조업	12	2022-09-30	3분기보고서	KRW	dart_ShortTermLoans	         단기대여금	210,000,000	75,000,000	
재무상태표, 유동/비유동법-별도재무제표	[211270]	AP위성	코스닥시장상장법인	264	통신 및 방송 장비 제조업	12	2022-09-30	3분기보고서	KRW	dart_ShortTermOtherReceivables	         단기미수금	636,926,846	371,926,170	
재무상태표, 유동/비유동법-별도재무제표	[211270]	AP위성	코스닥시장상장법인	264	통신 및 방송 장비 제조업	12	2022-09-30	3분기보고서	KRW	dart_AllowanceForDoubtfulAcccountShortTermOtherReceivables	         대손충당금	0	0	
재무상태표, 유동/비유동법-별도재무제표	[211270]	AP위성	코스닥시장상장법인	264	통신 및 방송 장비 제조업	12	2022-09-30	3분기보고서	KRW	dart_ShortTermDueFromCustomersForContractWork	         단기미청구공사	4,352,352,469	2,951,150,920	
재무상태표, 유동/비유동법-별도재무제표	[211270]	AP위성	코스닥시장상장법인	264	통신 및 방송 장비 제조업	12	2022-09-30	3분기보고서	KRW	dart_ShortTermAccruedIncome	         단기미수수익	216,314,448	96,777,441	
재무상태표, 유동/비유동법-별도재무제표	[211270]	AP위성	코스닥시장상장법인	264	통신 및 방송 장비 제조업	12	2022-09-30	3분기보고서	KRW	dart_ShortTermAdvancePayments	         단기선급금	4,027,491,865	11,737,548,521	
재무상태표, 유동/비유동법-별도재무제표	[211270]	AP위성	코스닥시장상장법인	264	통신 및 방송 장비 제조업	12	2022-09-30	3분기보고서	KRW	dart_ShortTermPrepaidExpenses	         단기선급비용	4,341,679	13,611,075	
재무상태표, 유동/비유동법-별도재무제표	[211270]	AP위성	코스닥시장상장법인	264	통신 및 방송 장비 제조업	12	2022-09-30	3분기보고서	KRW	dart_CurrentValueAddedTaxReceivables	         부가가치세대급금	0	0	
재무상태표, 유동/비유동법-별도재무제표	[211270]	AP위성	코스닥시장상장법인	264	통신 및 방송 장비 제조업	12	2022-09-30	3분기보고서	KRW	ifrs-full_CurrentTaxAssets	      당기법인세자산	50,183,382	0	
